DeviceType	ActiveHours	PowerUsage	Temperature	SignalStrength	FirmwareAge	Cluster
Light	12.34	65.26	34.23	-74.98	7	4
Plug	11.54	68.57	61.01	-67.89	6	0
Light	11.37	61.96	39.46	-48.74	2	4
Camera	18.88	45.46	41.39	-68.44	23	2
Camera	17.43	80.28	55.79	-25.0	47	2
Light	14.7	89.75	52.66	-50.17	44	4
Light	17.15	23.88	36.0	-53.54	22	4
Light	9.31	17.67	50.36	-88.62	44	4
Plug	8.42	51.17	50.28	-62.06	39	0
Camera	16.91	17.38	39.82	-65.12	24	2
Light	1.16	41.17	29.24	-57.5	21	4
Plug	9.48	52.98	32.55	-51.07	56	0
Plug	10.01	77.73	36.18	-52.29	44	0
Speaker	11.52	40.73	26.97	-70.31	35	3
Plug	9.31	56.94	42.75	-53.27	45	0
Plug	19.39	37.22	63.8	-76.16	18	0
Plug	10.15	74.17	44.49	-66.41	7	0
Camera	18.24	86.66	47.08	-61.51	42	2
Speaker	1.04	97.21	38.28	-76.49	45	3
Camera	13.76	80.83	49.49	-58.64	52	2
Light	7.58	46.37	29.75	-43.39	23	4
Camera	8.91	43.68	27.7	-72.82	55	2
Speaker	8.33	64.23	38.99	-53.7	17	3
Sensor	3.22	52.18	56.65	-61.85	37	1
Sensor	17.27	80.86	47.54	-63.46	60	1
Speaker	18.39	53.68	44.15	-40.05	29	3
Sensor	5.18	47.55	41.26	-73.48	14	1
Camera	17.89	8.84	45.06	-53.54	17	2
Speaker	16.05	53.19	38.65	-47.03	49	3
Light	13.46	66.17	40.2	-51.85	16	4
Camera	7.37	64.17	48.27	-61.2	49	2
Plug	12.19	45.99	45.18	-60.05	36	0
Plug	19.29	55.94	37.7	-57.57	31	0
Speaker	13.07	77.64	32.61	-90.0	36	3
Speaker	10.32	51.78	39.15	-46.47	54	3
Speaker	11.44	6.85	34.95	-57.34	45	3
Camera	12.36	81.32	8.0	-43.15	44	2
Plug	9.79	45.54	39.37	-62.96	1	0
Light	9.69	65.65	30.29	-58.43	36	4
Camera	12.85	93.88	33.51	-56.14	47	2
Light	22.42	54.825	49.55	-63.28	31	4
Speaker	12.26	58.74	32.3	-56.44	26	3
Plug	11.96	47.88	23.81	-66.41	49	0
Camera	10.65	69.11	48.38	-69.75	41	2
Light	19.08	66.59	32.67	-80.18	16	4
Light	8.11	58.33	41.69	-53.81	48	4
Sensor	11.49	21.27	44.52	-56.61	49	1
Camera	11.07	45.89	30.25	-50.38	17	2
Sensor	12.84	69.05	32.03	-37.36	54	1
Light	8.47	50.98	38.94	-56.41	29	4
Plug	7.87	54.825	43.51	-58.16	56	0
Sensor	11.59	29.4	44.71	-63.88	6	1
Light	11.41	50.19	37.96	-80.15	30	4
Light	17.05	19.72	40.39	-35.58	12	4
Camera	14.38	63.5	49.78	-72.66	36	2
Light	19.01	39.57	38.14	-39.2	17	4
Speaker	9.25	54.42	26.26	-54.13	18	3
Speaker	13.81	88.71	38.59	-45.16	2	3
Sensor	13.84	34.28	27.85	-65.36	34	1
Speaker	17.76	52.35	51.07	-62.52	10	3
Speaker	7.93	61.03	43.76	-56.89	48	3
Speaker	6.32	38.17	35.99	-34.16	8	3
Plug	3.28	35.68	37.26	-59.07	8	0
Speaker	16.98	47.25	55.55	-71.6	5	3
Plug	9.46	34.32	31.91	-65.05	26	0
Speaker	12.46	36.79	43.61	-67.36	30	3
Camera	15.43	31.5	48.07	-54.58	10	2
Sensor	6.7	72.47	39.93	-46.86	58	1
Sensor	2.33	35.65	36.94	-59.7	47	1
Camera	9.39	47.04	50.41	-55.36	59	2
Sensor	5.73	32.49	31.93	-54.94	29	1
Camera	8.91	31.41	49.79	-47.72	42	2
Plug	21.46	64.92	33.4	-74.17	18	0
Sensor	10.89	70.72	32.9	-25.0	44	1
Plug	14.5	55.89	31.24	-84.45	32	0
Sensor	11.76	61.67	49.74	-51.77	30	1
Camera	15.92	35.81	34.34	-52.22	53	2
Plug	14.28	92.78	45.24	-37.14	47	0
Plug	10.15	80.99	36.53	-72.75	43	0
Sensor	15.47	52.19	19.99	-44.47	4	1
Speaker	8.14	46.76	41.15	-68.09	20	3
Camera	10.83	90.69	25.68	-63.93	39	2
Light	14.36	52.41	45.96	-66.6	28	4
Camera	8.45	14.24	29.48	-50.16	58	2
Speaker	5.34	39.61	43.87	-54.48	29	3
Light	18.43	75.39	29.78	-62.65	16	4
Plug	3.2	67.79	32.44	-47.34	12	0
Speaker	8.76	69.08	37.99	-61.35	47	3
Sensor	18.47	72.02	26.11	-38.95	11	1
Camera	6.46	59.32	25.31	-52.9	59	2
Camera	14.37	84.05	41.46	-75.33	53	2
Speaker	10.1	35.9	41.23	-55.38	2	3
Light	8.38	35.83	32.0	-47.93	22	4
Sensor	8.9	15.83	46.2	-41.1	39	1
Speaker	13.41	71.58	51.89	-45.71	57	3
Camera	11.44	64.95	43.81	-68.42	41	2
Sensor	14.12	35.2	21.34	-43.64	44	1
Plug	14.34	54.7	55.57	-64.18	60	0
Sensor	13.76	59.89	52.83	-76.97	20	1
Speaker	21.31	51.37	37.92	-64.04	14	3
Plug	10.13	69.71	36.86	-43.45	41	0
Speaker	11.96	82.79	38.56	-63.64	38	3
Light	10.67	62.47	20.95	-39.95	5	4
Speaker	9.15	60.54	48.57	-56.6	51	3
Plug	12.85	51.88	43.51	-39.06	32	0
Camera	13.36	64.61	23.3	-49.52	16	2
Plug	8.31	58.87	22.01	-66.39	19	0
Plug	13.96	5.0	31.85	-87.02	28	0
Light	11.98	52.71	24.14	-51.14	28	4
Sensor	20.32	70.66	11.57	-46.66	46	1
Camera	7.28	21.82	37.4	-59.73	20	2
Sensor	11.23	44.69	31.36	-51.92	15	1
Sensor	20.01	36.08	9.94	-74.36	28	1
Speaker	14.85	81.34	40.43	-72.58	14	3
Plug	15.04	30.57	45.14	-53.85	3	0
Light	9.65	68.02	48.09	-64.04	50	4
Speaker	10.94	17.66	60.2	-61.85	55	3
Light	10.27	54.34	33.78	-64.18	4	4
Speaker	8.06	78.66	49.16	-50.19	27	3
Plug	9.5	53.41	44.34	-46.34	15	0
Sensor	15.3	73.54	43.81	-62.1	17	1
Light	13.68	58.12	43.12	-76.95	27	4
Plug	12.56	109.26	22.5	-63.15	42	0
Sensor	9.5	71.69	48.64	-54.32	17	1
Speaker	16.74	60.4	51.3	-68.56	12	3
Camera	12.45	36.87	48.88	-64.31	34	2
Camera	15.55	66.76	38.09	-44.74	24	2
Light	6.82	56.48	50.17	-62.73	30	4
Camera	7.59	47.03	33.03	-87.31	55	2
Sensor	7.96	76.96	35.98	-52.72	20	1
Plug	11.82	51.49	44.49	-61.54	49	0
Camera	14.28	64.19	39.53	-46.1	11	2
Light	12.32	83.04	44.25	-68.22	60	4
Light	12.13	57.84	41.16	-64.05	12	4
Light	9.6	78.03	37.97	-56.74	21	4
Plug	3.57	104.05	42.01	-74.0	42	0
Light	12.91	73.45	39.67	-56.06	44	4
Speaker	15.49	19.38	38.45	-34.9	37	3
Plug	11.97	61.47	37.76	-69.39	43	0
Camera	11.95	36.69	37.51	-72.75	8	2
Camera	7.33	5.0	34.52	-49.43	28	2
Plug	3.73	46.08	38.49	-67.9	13	0
Plug	13.63	62.04	46.49	-64.93	53	0
Plug	20.4	94.24	25.08	-59.96	10	0
Light	16.54	45.75	45.72	-51.73	51	4
Camera	20.69	63.74	40.05	-46.82	31	2
Plug	12.13	89.06	30.37	-37.46	53	0
Light	19.89	44.61	40.38	-90.0	38	4
Light	9.69	42.92	33.07	-90.0	50	4
Speaker	19.09	53.99	31.44	-61.69	47	3
Light	19.71	39.41	16.55	-76.94	6	4
Light	12.28	12.74	40.78	-73.03	49	4
Camera	20.69	78.99	24.6	-74.35	57	2
Light	16.36	99.98	55.87	-74.7	57	4
Camera	9.95	54.31	43.92	-71.72	53	2
Light	9.73	71.27	31.51	-40.29	3	4
Camera	9.24	20.61	60.23	-88.07	36	2
Camera	11.79	94.11	23.31	-71.52	43	2
Camera	7.17	71.28	39.22	-39.05	41	2
Light	14.01	33.31	43.4	-46.47	10	4
Sensor	7.59	34.82	38.82	-26.74	37	1
Light	11.87	60.41	29.7	-64.33	34	4
Light	14.16	65.69	22.61	-50.41	13	4
Plug	12.77	45.76	31.28	-51.72	27	0
Camera	11.85	96.06	42.99	-82.69	56	2
Sensor	8.45	77.05	33.39	-77.65	30	1
Light	21.95	54.825	32.36	-81.43	55	4
Speaker	10.47	65.53	38.93	-60.18	2	3
Speaker	8.54	86.89	25.52	-70.08	32	3
Sensor	13.09	48.67	30.92	-55.4	58	1
Plug	10.03	79.54	42.68	-52.52	26	0
Light	15.27	90.1	33.28	-74.8	59	4
Camera	15.94	77.0	35.22	-42.29	42	2
Plug	16.33	62.24	34.37	-68.25	17	0
Camera	21.6	42.36	33.89	-76.55	27	2
Light	13.13	57.4	46.69	-33.05	44	4
Camera	8.11	32.6	41.42	-50.65	13	2
Sensor	12.11	26.51	46.17	-48.8	26	1
Plug	13.26	68.4	26.08	-36.9	51	0
Plug	9.16	60.17	38.02	-65.31	21	0
Sensor	12.31	29.19	40.66	-45.04	58	1
Light	2.55	62.22	35.7	-54.98	58	4
Light	9.3	87.18	41.76	-58.2	9	4
Plug	12.36	56.89	39.96	-57.56	46	0
Sensor	5.66	81.8	20.84	-59.31	28	1
Camera	6.29	54.825	35.26	-58.83	17	2
Light	9.76	52.98	38.01	-48.76	10	4
Light	10.01	74.21	45.41	-58.38	53	4
Plug	17.25	78.75	39.75	-63.33	16	0
Speaker	14.73	60.66	29.83	-52.31	49	3
Light	6.52	42.58	48.42	-62.93	23	4
Speaker	10.34	74.71	31.55	-58.99	50	3
Camera	11.67	69.31	39.03	-57.91	42	2
Light	17.46	62.58	31.12	-60.7	37	4
Light	12.78	28.17	44.34	-60.44	32	4
Camera	9.4	30.56	49.5	-74.01	39	2
Plug	20.74	77.64	39.83	-60.5	16	0
Plug	11.39	44.57	30.62	-55.08	57	0
Camera	8.92	90.73	35.43	-63.03	56	2
Sensor	14.39	17.34	45.19	-31.47	40	1
Speaker	12.24	52.22	28.51	-79.1	50	3
Light	14.53	48.46	37.43	-71.4	15	4
Light	14.05	43.41	39.35	-52.64	57	4
Speaker	14.77	76.75	46.72	-63.2	54	3
Light	16.91	57.8	38.52	-63.28	54	4
Speaker	6.0	30.17	47.1	-49.85	43	3
Sensor	14.88	99.5	37.53	-65.96	24	1
Plug	7.37	66.34	47.89	-62.13	12	0
Sensor	9.86	66.09	57.51	-60.98	42	1
Camera	13.15	18.61	57.0	-31.18	56	2
Light	14.51	31.75	36.68	-34.87	43	4
Camera	17.13	100.3	45.65	-64.03	34	2
Light	13.74	85.71	34.1	-70.47	46	4
Plug	12.81	23.07	48.06	-70.46	44	0
Sensor	13.57	63.16	37.83	-68.18	20	1
Speaker	18.8	62.77	24.85	-54.68	15	3
Plug	10.02	62.39	21.64	-40.71	53	0
Light	15.43	12.07	43.33	-61.55	42	4
Plug	11.96	80.08	44.05	-55.1	60	0
Plug	16.62	80.58	38.21	-53.64	39	0
Light	10.8	12.52	42.25	-46.97	39	4
Light	9.16	25.98	46.4	-28.44	2	4
Speaker	6.27	24.2	31.11	-67.02	34	3
Light	11.96	38.89	34.97	-60.4	14	4
Sensor	18.8	76.04	42.63	-63.26	8	1
Plug	15.16	28.29	59.71	-66.35	30	0
Camera	17.09	21.8	26.33	-81.05	34	2
Light	15.24	72.32	49.04	-57.88	22	4
Camera	12.94	5.0	38.76	-58.36	47	2
Speaker	14.36	75.39	36.13	-59.96	47	3
Plug	7.67	78.34	53.98	-61.23	39	0
Speaker	13.31	57.15	39.36	-68.42	42	3
Plug	17.43	44.84	25.06	-64.32	9	0
Light	10.53	61.05	31.83	-86.28	5	4
Plug	16.02	78.93	10.74	-51.11	27	0
Sensor	16.71	56.35	40.0	-36.94	27	1
Camera	16.27	78.81	22.64	-84.92	28	2
Light	20.27	91.02	38.57	-25.0	8	4
Speaker	15.25	69.13	43.6	-55.93	58	3
Speaker	15.4	60.89	39.38	-33.19	31	3
Camera	12.92	76.93	28.98	-78.35	28	2
Plug	7.1	59.5	36.18	-51.14	10	0
Plug	7.89	92.58	28.93	-66.87	51	0
Plug	11.62	59.19	34.13	-47.6	55	0
Plug	11.94	86.43	48.36	-67.69	4	0
Plug	13.2	42.66	27.37	-59.26	21	0
Camera	14.45	39.97	33.41	-72.18	47	2
Speaker	10.3	35.55	42.34	-38.06	9	3
Light	8.07	83.43	48.27	-60.57	16	4
Plug	12.54	48.08	49.25	-61.24	44	0
Light	18.24	32.08	33.62	-25.0	57	4
Speaker	14.31	81.62	58.71	-46.73	55	3
Speaker	11.96	89.99	44.74	-58.44	24	3
Plug	12.36	75.72	31.87	-62.18	41	0
Light	4.47	101.02	38.68	-34.51	2	4
Light	14.21	62.85	22.29	-53.4	42	4
Plug	11.13	60.05	39.18	-75.5	5	0
Plug	16.73	33.31	45.18	-42.89	1	0
Plug	21.02	29.46	25.35	-70.32	1	0
Camera	9.47	54.96	39.16	-70.16	38	2
Light	11.93	56.44	38.43	-35.17	14	4
Light	12.27	41.28	38.94	-41.71	33	4
Plug	11.0	34.73	42.58	-70.68	58	0
Plug	10.24	24.06	51.38	-58.56	29	0
Light	15.83	47.18	30.15	-50.14	1	4
Plug	13.75	46.41	34.15	-56.27	7	0
Plug	3.79	18.96	26.82	-74.47	14	0
Light	10.56	23.68	31.27	-45.76	5	4
Sensor	12.46	59.74	35.15	-62.94	4	1
Speaker	6.6	34.26	32.86	-77.84	10	3
Speaker	10.65	64.12	44.38	-57.03	15	3
Plug	10.08	51.18	18.25	-61.03	1	0
Sensor	13.22	63.5	34.51	-57.72	18	1
Camera	10.44	36.15	32.67	-57.84	2	2
Light	7.39	20.85	38.32	-51.72	57	4
Camera	10.22	51.01	32.95	-57.66	33	2
Speaker	18.21	85.96	30.29	-57.98	50	3
Plug	8.8	52.23	22.7	-52.9	36	0
Camera	20.69	91.96	40.25	-47.11	48	2
Camera	7.18	102.24	39.74	-66.96	49	2
Plug	4.72	43.84	38.64	-32.08	47	0
Plug	13.87	34.92	31.42	-47.94	6	0
Sensor	15.45	70.35	48.33	-58.65	55	1
Sensor	16.67	30.04	36.46	-50.31	11	1
Light	11.07	57.75	40.46	-44.05	18	4
Plug	15.82	37.24	41.87	-50.57	17	0
Sensor	8.46	33.69	39.25	-48.18	59	1
Speaker	15.05	65.3	31.83	-65.45	57	3
Sensor	11.3	86.46	44.45	-25.0	55	1
Plug	13.49	69.09	30.56	-50.39	12	0
Speaker	16.76	18.58	36.56	-65.84	25	3
Camera	19.79	41.05	33.53	-42.77	6	2
Plug	11.04	46.53	34.64	-72.54	3	0
Light	11.03	86.95	45.72	-61.67	53	4
Speaker	11.66	7.99	25.65	-41.22	6	3
Camera	6.74	76.74	51.21	-65.47	24	2
Light	18.56	58.13	52.6	-73.35	16	4
Light	11.95	26.15	36.66	-33.39	19	4
Plug	13.24	45.85	30.97	-50.07	51	0
Light	10.16	26.41	39.78	-61.69	28	4
Sensor	4.8	38.8	29.05	-58.35	28	1
Speaker	13.57	57.49	21.01	-46.25	18	3
Plug	15.0	47.61	35.1	-60.17	6	0
Plug	7.01	64.58	55.79	-38.12	59	0
Plug	20.86	11.55	44.68	-74.72	11	0
Light	15.68	39.07	43.38	-71.07	26	4
Speaker	6.22	44.38	28.09	-56.86	1	3
Light	10.25	49.11	44.02	-51.82	39	4
Light	10.38	41.59	40.71	-46.46	49	4
Sensor	9.37	52.38	44.88	-50.17	52	1
Light	9.59	64.3	38.45	-77.61	46	4
Camera	13.57	20.96	22.03	-55.69	36	2
Sensor	4.42	84.13	47.8	-52.85	40	1
Sensor	12.64	57.88	47.96	-64.86	52	1
Plug	8.6	5.0	37.44	-47.54	42	0
Camera	14.16	97.97	35.09	-36.29	34	2
Plug	16.71	18.1	24.08	-52.27	50	0
Speaker	19.04	95.79	45.24	-68.35	56	3
Speaker	11.3	66.54	54.18	-76.78	36	3
Sensor	10.89	72.05	34.62	-59.11	7	1
Light	8.72	83.82	27.46	-52.04	52	4
Plug	17.66	74.58	33.13	-50.95	40	0
Sensor	10.2	59.32	56.92	-60.65	25	1
Plug	13.44	59.69	46.7	-42.05	7	0
Plug	11.25	70.68	32.33	-65.81	4	0
Camera	8.94	73.7	36.86	-55.41	22	2
Light	8.94	77.54	62.87	-41.55	34	4
Speaker	12.6	26.92	52.6	-51.01	47	3
Camera	15.22	65.3	39.43	-58.42	29	2
Light	18.12	5.0	50.44	-57.86	49	4
Plug	14.11	69.45	35.74	-56.59	6	0
Light	18.31	57.6	29.31	-45.87	22	4
Light	10.09	86.45	39.56	-68.61	12	4
Plug	10.93	44.73	34.07	-61.27	5	0
Sensor	18.5	46.48	31.28	-47.9	46	1
Speaker	17.38	12.65	46.57	-60.26	25	3
Plug	11.96	60.64	44.47	-59.73	27	0
Speaker	11.68	40.48	22.14	-63.75	13	3
Plug	11.39	101.67	36.86	-65.05	50	0
Light	16.92	78.4	34.46	-60.63	55	4
Light	10.51	73.41	37.99	-31.63	3	4
Sensor	5.96	55.81	36.46	-55.7	47	1
Light	12.38	66.12	45.41	-74.35	42	4
Plug	10.88	43.04	27.88	-43.05	23	0
Plug	19.48	85.02	43.86	-55.11	37	0
Camera	8.72	36.5	40.65	-44.43	29	2
Light	7.54	51.78	30.29	-87.05	34	4
Camera	12.86	63.6	28.16	-63.5	57	2
Plug	12.64	48.04	39.71	-67.04	56	0
Light	13.11	27.02	27.28	-87.67	32	4
Sensor	7.56	47.06	46.76	-51.97	35	1
Sensor	9.35	39.17	41.63	-50.84	1	1
Light	16.11	37.94	19.13	-51.32	17	4
Light	15.63	66.58	43.36	-26.18	16	4
Sensor	17.67	67.94	35.63	-42.2	21	1
Light	11.57	60.11	28.83	-58.34	59	4
Plug	16.8	38.89	44.65	-59.23	20	0
Sensor	9.75	63.37	47.32	-41.86	41	1
Plug	15.04	53.91	28.32	-60.22	30	0
Sensor	12.55	51.21	30.72	-61.94	31	1
Camera	20.16	29.45	49.84	-59.08	7	2
Plug	10.74	59.45	30.44	-70.79	14	0
Sensor	11.1	70.6	22.53	-44.88	60	1
Sensor	6.57	44.95	41.41	-36.28	13	1
Speaker	8.57	38.37	42.85	-58.48	47	3
Plug	11.44	47.19	40.24	-58.63	14	0
Plug	11.35	68.92	32.92	-67.5	30	0
Sensor	6.08	76.25	33.73	-64.78	41	1
Plug	9.16	64.43	28.3	-55.26	12	0
Camera	9.69	60.95	25.31	-68.05	4	2
Sensor	2.03	52.46	53.84	-54.1	11	1
Sensor	5.76	74.66	24.65	-41.94	36	1
Plug	7.66	21.98	38.45	-74.04	15	0
Light	9.25	27.47	40.82	-64.88	47	4
Light	6.52	66.58	20.1	-49.68	58	4
Light	17.62	106.16	30.15	-67.52	47	4
Plug	11.93	71.15	44.44	-74.45	32	0
Light	17.19	5.0	40.47	-70.29	33	4
Plug	11.26	31.6	41.36	-48.73	48	0
Sensor	4.74	93.56	39.42	-80.93	43	1
Sensor	13.64	59.34	38.41	-35.92	42	1
Plug	17.74	73.41	13.19	-49.26	32	0
Speaker	17.92	59.89	44.04	-61.37	51	3
Sensor	20.4	54.09	47.11	-50.92	49	1
Speaker	11.96	54.825	50.14	-71.69	11	3
Light	12.01	53.32	24.58	-40.97	5	4
Plug	15.04	14.19	60.52	-70.6	26	0
Sensor	9.41	38.03	23.94	-69.13	54	1
Camera	4.95	66.3	36.55	-70.38	23	2
Plug	14.04	50.68	54.1	-85.63	11	0
Light	12.49	87.45	30.42	-63.39	30	4
Speaker	11.96	69.43	44.95	-66.9	51	3
Light	14.93	62.15	35.25	-48.95	50	4
Plug	15.56	58.71	34.27	-53.6	9	0
Plug	17.12	61.41	50.1	-66.4	25	0
Camera	16.21	83.78	33.97	-36.15	43	2
Speaker	12.95	17.6	34.25	-51.62	49	3
Camera	12.53	109.65	48.46	-58.94	19	2
Plug	10.84	73.27	54.49	-46.02	41	0
Camera	14.19	56.59	38.51	-56.25	14	2
Sensor	13.35	61.95	35.4	-72.64	27	1
Light	14.31	45.02	30.81	-68.47	27	4
Light	11.01	43.86	22.84	-64.27	30	4
Plug	10.5	72.77	59.57	-57.08	37	0
Speaker	6.95	50.32	37.3	-65.59	34	3
Plug	14.94	61.41	27.09	-53.53	26	0
Speaker	7.09	52.49	49.15	-64.24	41	3
Plug	11.19	11.77	34.37	-64.44	32	0
Camera	13.23	15.87	51.29	-64.92	3	2
Light	10.38	91.73	37.83	-50.79	31	4
Plug	14.16	67.06	36.16	-72.75	30	0
Sensor	9.91	44.35	41.76	-68.21	15	1
Sensor	13.9	99.03	18.55	-63.84	32	1
Speaker	10.67	72.98	31.49	-69.78	24	3
Camera	3.88	80.34	39.77	-62.15	8	2
Camera	13.16	48.9	27.82	-81.86	49	2
Speaker	5.92	58.18	37.28	-65.22	14	3
Plug	15.76	30.5	46.1	-82.42	7	0
Camera	14.37	42.79	34.56	-78.64	37	2
Camera	12.49	82.35	39.72	-52.71	54	2
Camera	20.28	39.95	28.03	-36.38	54	2
Plug	11.96	67.66	47.59	-64.09	23	0
Light	14.13	45.22	33.46	-67.7	3	4
Camera	8.34	57.25	42.64	-71.15	47	2
Plug	8.31	32.27	47.94	-70.09	35	0
Plug	18.07	59.02	49.36	-45.91	54	0
Plug	9.84	54.825	41.81	-84.52	47	0
Light	16.9	33.87	31.69	-60.22	10	4
Sensor	11.32	66.29	35.69	-59.87	15	1
Camera	15.27	69.69	37.61	-42.56	28	2
Camera	20.28	61.97	44.55	-55.54	40	2
Plug	4.47	81.74	46.88	-76.81	50	0
Light	16.96	61.57	37.34	-65.89	45	4
Light	18.94	54.33	31.45	-85.07	33	4
Sensor	17.9	66.71	27.66	-69.17	46	1
Light	17.59	38.33	42.44	-48.19	37	4
Camera	16.03	73.07	29.74	-70.42	19	2
Light	10.28	82.06	28.53	-78.46	47	4
Sensor	12.44	54.825	40.34	-74.39	16	1
Plug	11.93	54.05	33.14	-49.92	42	0
Plug	12.37	27.49	26.72	-25.0	27	0
Sensor	16.37	54.825	26.98	-65.55	55	1
Light	11.12	109.56	23.25	-47.49	10	4
Plug	3.22	20.29	42.74	-60.2	44	0
Plug	13.94	41.3	42.46	-77.86	55	0
Plug	10.4	101.33	48.01	-55.08	11	0
Plug	15.87	51.17	49.68	-80.87	59	0
Light	12.79	77.34	40.21	-56.11	52	4
Camera	8.17	85.47	34.16	-47.86	24	2
Light	10.05	33.51	44.87	-41.68	56	4
Light	12.22	35.91	31.0	-69.55	47	4
Speaker	7.91	54.825	31.38	-41.81	51	3
Camera	12.6	54.88	36.03	-68.1	55	2
Sensor	7.99	68.93	48.62	-63.7	12	1
Plug	10.85	64.46	42.02	-64.53	50	0
Plug	8.18	120.49	46.65	-60.34	16	0
Light	9.69	62.04	32.3	-69.03	21	4
Light	7.44	78.4	40.14	-71.99	16	4
Sensor	12.84	59.59	18.96	-70.72	57	1
Light	11.64	87.92	43.7	-57.45	19	4
Sensor	16.0	56.89	44.84	-71.72	20	1
Camera	13.11	86.65	39.75	-56.65	54	2
Speaker	9.84	54.98	40.64	-50.61	33	3
Light	13.76	66.89	25.01	-38.62	29	4
Sensor	18.24	86.01	39.0	-54.45	51	1
Plug	17.49	45.03	42.77	-56.58	24	0
Camera	8.6	52.54	55.01	-76.87	53	2
Sensor	9.95	79.46	39.7	-50.23	7	1
Speaker	24.0	81.43	47.65	-73.68	2	3
Camera	8.62	86.09	37.94	-56.17	34	2
Camera	13.08	68.8	33.46	-79.68	17	2
Light	12.24	49.47	22.28	-50.81	16	4
Sensor	9.79	36.88	35.81	-66.05	4	1
Light	18.69	45.95	32.85	-45.77	30	4
Camera	12.35	60.52	36.31	-74.17	13	2
Plug	7.14	57.53	39.3	-56.87	37	0
Plug	12.19	56.94	48.61	-49.78	55	0
Light	12.45	51.29	38.42	-44.57	17	4
Speaker	17.46	57.33	34.58	-58.14	22	3
Light	15.77	109.99	41.26	-66.59	4	4
Plug	14.37	46.8	31.57	-77.22	6	0
Sensor	19.49	110.85	35.86	-71.38	56	1
Sensor	13.79	5.0	26.48	-63.41	13	1
Plug	13.49	58.25	44.28	-48.88	14	0
Sensor	13.56	73.38	33.95	-50.14	10	1
Sensor	4.77	48.58	38.18	-64.44	54	1
Camera	7.05	73.07	47.09	-62.28	38	2
Plug	13.8	65.7	39.29	-48.37	5	0
Light	11.36	54.825	19.73	-72.4	38	4
Plug	10.06	34.36	36.37	-51.78	36	0
Plug	13.32	91.59	52.63	-66.87	52	0
Light	18.55	66.35	40.8	-64.48	16	4
Speaker	18.2	25.84	43.57	-52.2	15	3
Light	4.3	77.96	25.98	-48.86	44	4
Plug	15.42	64.3	37.71	-66.01	39	0
Light	9.85	74.64	35.33	-81.37	16	4
Camera	15.46	29.3	30.42	-49.15	38	2
Light	6.56	29.64	33.61	-55.57	55	4
Camera	12.39	68.28	34.73	-67.62	19	2
Sensor	14.31	45.24	27.34	-60.58	13	1
Speaker	18.65	48.93	37.09	-74.37	50	3
Plug	13.53	48.59	43.22	-46.66	37	0
Light	10.09	44.85	21.5	-46.44	3	4
Sensor	14.07	56.61	15.96	-29.34	29	1
Plug	3.58	49.12	45.92	-61.14	14	0
Speaker	10.12	39.21	39.38	-54.62	7	3
Speaker	18.71	52.0	37.89	-56.46	11	3
Plug	16.8	102.28	39.3	-51.38	15	0
Plug	19.04	55.55	34.76	-69.07	50	0
Plug	19.31	62.24	46.79	-49.84	43	0
Sensor	20.01	95.19	31.92	-54.84	44	1
Speaker	17.75	55.75	45.0	-52.67	44	3
Light	8.48	66.85	46.02	-62.87	26	4
Camera	11.52	42.94	21.92	-68.54	9	2
Sensor	12.17	5.0	32.46	-60.77	2	1
Plug	15.27	55.76	31.01	-61.04	35	0
Speaker	13.42	95.31	43.5	-54.02	29	3
Plug	8.2	77.3	29.07	-57.92	4	0
Sensor	15.26	58.38	45.39	-71.98	14	1
Light	11.8	60.98	36.05	-50.89	20	4
Camera	12.49	81.83	30.02	-61.64	3	2
Speaker	15.6	81.72	43.54	-70.89	33	3
Camera	10.04	64.84	49.72	-54.04	26	2
Camera	16.66	67.17	28.74	-51.15	31	2
Light	8.72	70.26	30.25	-62.41	24	4
Plug	14.0	79.61	37.46	-74.94	34	0
Light	14.55	45.39	32.55	-64.99	4	4
Camera	11.23	24.31	46.0	-71.22	4	2
Plug	10.25	39.14	28.39	-53.3	49	0
Speaker	18.28	69.76	49.26	-57.97	18	3
Light	18.62	27.29	31.99	-75.26	9	4
Speaker	15.68	64.87	47.72	-82.84	33	3
Light	13.55	43.35	56.22	-80.27	58	4
Sensor	19.48	41.46	42.97	-79.87	30	1
Plug	12.45	65.82	43.7	-50.35	15	0
Light	20.3	18.1	43.47	-57.25	33	4
Light	19.9	101.22	26.64	-51.88	41	4
Speaker	20.44	73.42	33.15	-53.32	33	3
Light	14.39	74.56	42.48	-53.93	17	4
Light	5.4	75.6	39.23	-62.14	57	4
Camera	10.45	33.52	35.5	-68.11	51	2
Plug	7.93	40.68	40.52	-60.86	26	0
Camera	14.98	88.54	33.23	-69.95	47	2
Camera	14.91	38.62	44.53	-48.57	26	2
Light	9.94	39.36	32.8	-60.14	30	4
Camera	13.9	54.67	47.96	-62.81	8	2
Plug	24.0	55.8	47.36	-57.84	52	0
Camera	20.28	62.12	25.53	-55.8	25	2
Camera	11.27	30.08	33.38	-49.66	31	2
Speaker	11.86	54.825	24.84	-25.0	16	3
Sensor	15.37	65.29	41.86	-64.07	16	1
Speaker	18.65	83.28	46.76	-55.73	39	3
Plug	15.47	55.91	27.54	-51.59	47	0
Speaker	3.86	101.98	40.16	-68.88	4	3
Sensor	13.74	40.94	48.99	-81.44	2	1
Plug	14.8	60.95	40.07	-58.92	32	0
